h,Consommation (MW),Production total,Coût total,"centrale ('A', 0)","Puissance ('A', 0)","Coût ('A', 0)","centrale ('A', 1)","Puissance ('A', 1)","Coût ('A', 1)","centrale ('A', 2)","Puissance ('A', 2)","Coût ('A', 2)","centrale ('A', 3)","Puissance ('A', 3)","Coût ('A', 3)","centrale ('A', 4)","Puissance ('A', 4)","Coût ('A', 4)","centrale ('A', 5)","Puissance ('A', 5)","Coût ('A', 5)","centrale ('A', 6)","Puissance ('A', 6)","Coût ('A', 6)","centrale ('A', 7)","Puissance ('A', 7)","Coût ('A', 7)","centrale ('A', 8)","Puissance ('A', 8)","Coût ('A', 8)","centrale ('A', 9)","Puissance ('A', 9)","Coût ('A', 9)","centrale ('A', 10)","Puissance ('A', 10)","Coût ('A', 10)","centrale ('A', 11)","Puissance ('A', 11)","Coût ('A', 11)",Puissance tot A,"centrale ('B', 0)","Puissance ('B', 0)","Coût ('B', 0)","centrale ('B', 1)","Puissance ('B', 1)","Coût ('B', 1)","centrale ('B', 2)","Puissance ('B', 2)","Coût ('B', 2)","centrale ('B', 3)","Puissance ('B', 3)","Coût ('B', 3)","centrale ('B', 4)","Puissance ('B', 4)","Coût ('B', 4)","centrale ('B', 5)","Puissance ('B', 5)","Coût ('B', 5)","centrale ('B', 6)","Puissance ('B', 6)","Coût ('B', 6)","centrale ('B', 7)","Puissance ('B', 7)","Coût ('B', 7)","centrale ('B', 8)","Puissance ('B', 8)","Coût ('B', 8)","centrale ('B', 9)","Puissance ('B', 9)","Coût ('B', 9)",Puissance tot B,"centrale ('C', 0)","Puissance ('C', 0)","Coût ('C', 0)","centrale ('C', 1)","Puissance ('C', 1)","Coût ('C', 1)","centrale ('C', 2)","Puissance ('C', 2)","Coût ('C', 2)","centrale ('C', 3)","Puissance ('C', 3)","Coût ('C', 3)","centrale ('C', 4)","Puissance ('C', 4)","Coût ('C', 4)",Puissance tot C,"Fonctionnement 9, palier 1","Puissance tot 9, palier 1","Coût 9, palier 1","Fonctionnement 9, palier 2","Puissance tot 9, palier 2","Coût 9, palier 2","Fonctionnement 9, palier 3","Puissance tot 9, palier 3","Coût 9, palier 3","Fonctionnement 9, palier 4","Puissance tot 9, palier 4","Coût 9, palier 4",Démarrage 9,Fonctionnement 9,Puissance tot 9,Coût 9,"Fonctionnement 14, palier 1","Puissance tot 14, palier 1","Coût 14, palier 1","Fonctionnement 14, palier 2","Puissance tot 14, palier 2","Coût 14, palier 2","Fonctionnement 14, palier 3","Puissance tot 14, palier 3","Coût 14, palier 3","Fonctionnement 14, palier 4","Puissance tot 14, palier 4","Coût 14, palier 4",Démarrage 14,Fonctionnement 14,Puissance tot 14,Coût 14,Pompage,Réservoir variation,Réservoir,Coût MWh
0,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,0.7333333333333333,1.6666666666666667
1,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,1.4666666666666666,1.6666666666666667
2,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,2.1999999999999997,1.6666666666666667
3,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,2.933333333333333,1.6666666666666667
4,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,3.6666666666666665,1.6666666666666667
5,15000,15000.0,25000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,7000.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2200.0,0.7333333333333333,4.3999999999999995,1.6666666666666667
6,30000,30000.0,52360.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,2000.0,3300.0,1,2000.0,3300.0,1,850.0,1000.0,1,900.0000000000009,1100.0000000000018,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,12550.0,1,1750.0,4250.0,1,1750.0,3250.0,1,1750.0,4250.0,1,1750.0,4250.0,1,1750.0,4250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,4250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1700.0,210.0,1.0,1.0,1700.0,1410.0,-0.0,-0.56,3.8399999999999994,1.7453333333333334
7,30000,30000.0,46160.0,1,2000.0,3300.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,900.0000000000009,1100.0000000000018,1,850.0,1000.0,1,2000.0,3300.0,12550.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1700.0,210.0,-0.0,1.0,1700.0,210.0,-0.0,-0.56,3.2799999999999994,1.5386666666666666
8,30000,30000.0,46160.0,1,2000.0,3300.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,900.0000000000009,1100.0000000000018,1,2000.0,3300.0,12550.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1700.0,210.0,-0.0,1.0,1700.0,210.0,-0.0,-0.56,2.7199999999999993,1.5386666666666666
9,25000,25000.0,41250.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,1,850.0,1000.0,10200.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,0,0.0,0.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,1,1750.0,3250.0,15750.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999999,0.3166666666666666,3.0366666666666657,1.65
